Rank,Code,Company,Price,1 Day,1 Week,1 Month,1 Year,Sector,Mkt Cap ($)
18,QBE,QBEQBE Insurance Group Ltd,$15.68,-0.82%,+1.10%,+0.84%,+24.35%,Financials,23.42B
19,NCM,NCMNewcrest Mining Ltd,$23.35,0.00%,0.00%,-4.69%,+34.74%,Materials,20.88B
20,NEM,NEMNewmont Corporation,$58.94,+1.19%,-0.94%,-0.94%,-0.94%,Materials,20.79B
21,COL,COLColes Group Ltd,$15.45,+0.78%,+3.14%,-0.13%,-4.28%,Consumer Staples,20.68B
22,REA,REAREA Group Ltd,$155.40,+2.18%,+5.51%,+1.02%,+31.75%,Communication Services,20.53B
23,WTC,WTCWisetech Global Ltd,$60.05,+0.12%,+2.13%,-7.02%,+4.80%,Information Technology,20.02B
24,BXB,BXBBrambles Ltd,$13.45,+1.05%,-3.79%,-6.08%,+15.06%,Industrials,18.71B
25,JHX,JHXJames Hardie Industries Plc,$41.10,+0.56%,+6.09%,+0.98%,+24.36%,Materials,17.99B
26,SUN,SUNSuncorp Group Ltd,$13.52,-0.30%,+0.07%,-2.52%,+14.48%,Financials,17.17B
27,XRO,XROXero Ltd,$112.29,+1.39%,+5.64%,-0.58%,+51.56%,Information Technology,17.01B
28,COH,COHCochlear Ltd,$247.58,+0.67%,+2.04%,-2.82%,+27.30%,Health Care,16.22B
29,CPU,CPUComputershare Ltd,$25.13,+1.41%,+1.82%,-2.64%,-3.12%,Industrials,15.17B
30,S32,S32SOUTH32 Ltd,$3.32,0.00%,+2.47%,-4.87%,-9.78%,Materials,15.04B
31,ORG,ORGOrigin Energy Ltd,$8.38,-1.06%,-8.81%,-5.52%,+48.32%,Utilities,14.44B
32,IAG,IAGInsurance Australia Group Ltd,$5.77,-0.69%,+1.41%,+2.31%,+16.10%,Financials,14.01B
33,SHL,SHLSonic Healthcare Ltd,$29.52,+1.10%,+2.93%,-1.21%,-8.55%,Health Care,14B
34,SCG,SCGScentre Group,$2.58,+2.38%,+6.61%,+4.45%,-10.42%,Real Estate,13.39B
35,NST,NSTNorthern Star Resources Ltd,$11.62,+0.35%,-3.17%,+10.77%,+34.34%,Materials,13.35B
36,VAS,VASVanguard Australian Shares INDEX ETF,$86.30,+1.14%,+2.43%,-0.77%,+1.37%,Financials,12.4B
37,SOL,SOLWashington H Soul Pattinson & Company Ltd,$34.35,+1.36%,+0.67%,+4.98%,+23.30%,Financials,12.4B
38,RMD,RMDResmed Inc,$23.15,-1.24%,+3.07%,+0.96%,-32.41%,Health Care,12B
39,MIN,MINMineral Resources Ltd,$61.07,+2.38%,+3.33%,-9.57%,-13.02%,Materials,11.92B
40,REH,REHReece Ltd,$18.37,+2.68%,+4.67%,-1.71%,+22.96%,Industrials,11.87B
41,FPH,FPHFisher & Paykel Healthcare Corporation Ltd,$20.14,+2.08%,+5.34%,+1.26%,+13.91%,Health Care,11.72B
42,RHC,RHCRamsay Health Care Ltd,$50.70,+0.82%,+3.68%,-0.94%,-12.48%,Health Care,11.63B
43,PLS,PLSPilbara Minerals Ltd,$3.75,+3.02%,-2.85%,-10.93%,-25.45%,Materials,11.29B
44,ASX,ASXASX Ltd,$57.04,+0.19%,+2.72%,+0.11%,-14.32%,Financials,11.04B
45,CAR,CARCAR Group Ltd,$28.65,+0.32%,+2.91%,+3.96%,+38.06%,Communication Services,10.8B
46,APA,APAAPA Group,$8.37,+1.83%,+2.57%,+0.12%,-19.36%,Utilities,10.74B
47,SVW,SVWSeven Group Holdings Ltd,$29.25,+2.13%,+8.78%,-5.09%,+55.92%,Industrials,10.63B
48,AIA,AIAAuckland International Airport Ltd,$7.11,+1.43%,+3.34%,-2.07%,+3.19%,Industrials,10.47B
49,TLC,TLCThe Lottery Corporation Ltd,$4.60,-0.43%,+3.60%,-1.08%,+7.48%,Consumer Discretionary,10.24B
50,PMGOLD,PMGOLDGold Corporation,$30.77,-0.16%,-2.60%,+7.21%,+19.77%,Materials,9.89B
51,TPG,TPGTPG Telecom Ltd,$5.29,+0.76%,+3.12%,-3.29%,+10.90%,Communication Services,9.84B
52,MPL,MPLMedibank Private Ltd,$3.46,+0.58%,-0.86%,+0.58%,+19.31%,Financials,9.53B
53,EDV,EDVEndeavour Group Ltd,$5.01,+1.62%,+3.30%,-4.21%,-28.63%,Consumer Staples,8.97B
54,QAN,QANQantas Airways Ltd,$5.18,+1.97%,+8.14%,+1.57%,-12.94%,Industrials,8.93B
55,SGP,SGPStockland,$3.73,+1.91%,+4.78%,-4.36%,+7.80%,Real Estate,8.9B
56,AMC,AMCAmcor Plc,$13.79,+0.95%,+1.70%,-2.96%,-19.92%,Materials,8.85B
57,WOR,WORWorley Ltd,$16.76,+0.36%,+1.64%,-4.23%,+15.59%,Industrials,8.83B
58,BSL,BSLBluescope Steel Ltd,$19.50,+1.88%,+3.67%,-0.21%,+22.87%,Materials,8.76B
59,AFI,AFIAustralian Foundation Investment Company Ltd,$6.88,+1.48%,+5.20%,+0.59%,-4.58%,Financials,8.58B
60,PME,PMEPro Medicus Ltd,$81.67,+2.23%,+7.66%,-2.55%,+46.86%,Health Care,8.53B
61,SPK,SPKSpark New Zealand Ltd,$4.62,-0.22%,+2.44%,+3.82%,-0.43%,Communication Services,8.46B
62,ALX,ALXAtlas Arteria,$5.64,+4.44%,+4.25%,+1.62%,-13.89%,Industrials,8.18B
63,VCX,VCXVicinity Centres,$1.795,+1.41%,+4.67%,+4.97%,-5.77%,Real Estate,8.17B
64,TWE,TWETreasury Wine Estates Ltd,$11.04,-8.76%,-7.77%,-8.76%,-13.41%,Consumer Staples,7.97B
65,IFT,IFTInfratil Ltd,$9.54,+3.14%,+4.04%,+1.49%,+22.47%,Industrials,7.94B
66,ALD,ALDAmpol Ltd,$33.08,+1.01%,+4.12%,-2.22%,+19.55%,Energy,7.88B
67,MCY,MCYMercury NZ Ltd,$5.60,+2.19%,+1.82%,-3.28%,+9.38%,Utilities,7.79B
68,SEK,SEKSeek Ltd,$21.80,+0.74%,+4.86%,-1.63%,+0.65%,Communication Services,7.77B
69,MGR,MGRMirvac Group,$1.945,+2.10%,+3.46%,-8.69%,-4.19%,Real Estate,7.67B
70,GPT,GPTGPT Group,$3.89,+2.10%,+9.58%,-0.26%,-9.95%,Real Estate,7.45B
71,DXS,DXSDexus,$6.89,+2.53%,+5.68%,-5.49%,-9.34%,Real Estate,7.41B
72,IGO,IGOIGO Ltd,$9.69,+3.64%,-9.86%,-23.88%,-33.90%,Materials,7.34B
73,AGL,AGLAGL Energy Ltd,$10.59,+0.67%,-1.49%,-0.94%,+49.58%,Utilities,7.12B
74,ORI,ORIOrica Ltd,$14.92,+1.70%,+1.91%,-3.43%,+5.97%,Materials,6.8B
75,LYC,LYCLynas Rare EARTHS Ltd,$7.21,+1.12%,+1.41%,+6.34%,-15.67%,Materials,6.73B
76,AZJ,AZJAurizon Holdings Ltd,$3.54,+2.61%,+3.81%,+1.43%,-3.01%,Industrials,6.52B
77,EBO,EBOEbos Group Ltd,$33.96,+0.47%,+4.88%,+4.91%,-0.70%,Health Care,6.51B
78,IEL,IELIdp Education Ltd,$23.20,+2.02%,+3.85%,+9.07%,-19.44%,Consumer Discretionary,6.46B
79,EVN,EVNEvolution Mining Ltd,$3.51,-0.28%,-1.68%,+7.01%,+75.94%,Materials,6.45B
80,ARG,ARGArgo Investments Ltd,$8.47,+0.83%,+2.30%,-1.74%,-4.29%,Financials,6.42B
81,NXT,NXTNEXTDC Ltd,$12.45,+1.72%,+4.98%,+0.57%,+48.53%,Information Technology,6.41B
82,MGOC,MGOCMagellan Global Fund (Open Class) (Managed Fund),$2.62,+1.55%,+1.95%,+1.95%,+12.93%,Financials,6.34B
83,VGS,VGSVanguard MSCI INDEX International Shares ETF,$105.62,+1.57%,+1.55%,-0.50%,+13.06%,Financials,6.3B
84,YAL,YALYancoal Australia Ltd,$4.71,-1.46%,-5.23%,-9.94%,-9.42%,Energy,6.22B
85,AKE,AKEAllkem Ltd,$9.54,+3.92%,-5.45%,-18.53%,-32.29%,Materials,6.1B
86,IVV,IVVIshares S&P 500 ETF,$44.69,+1.45%,+1.34%,-0.56%,+13.29%,Financials,5.99B
87,WHC,WHCWhitehaven Coal Ltd,$7.15,-1.92%,-7.98%,-0.56%,-24.02%,Energy,5.98B
88,SDF,SDFSteadfast Group Ltd,$5.52,+0.91%,-1.25%,-1.08%,+8.88%,Financials,5.73B
89,MEZ,MEZMeridian Energy Ltd,$4.48,+0.22%,-0.89%,-4.88%,+1.13%,Utilities,5.67B
90,IPL,IPLIncitec Pivot Ltd,$2.83,+0.71%,+2.54%,-9.00%,-23.93%,Materials,5.5B
91,ALU,ALUAltium Ltd,$40.81,-0.29%,+1.19%,-4.81%,+14.51%,Information Technology,5.38B
92,CWY,CWYCleanaway Waste Management Ltd,$2.39,+3.91%,+4.37%,-1.24%,-12.45%,Industrials,5.33B
93,ALQ,ALQAls Ltd,$10.94,+1.58%,+1.30%,-3.61%,-3.70%,Industrials,5.3B
94,BEN,BENBendigo and Adelaide Bank Ltd,$9.09,+2.25%,+4.72%,+1.79%,+1.11%,Financials,5.16B
95,QUB,QUBQUBE Holdings Ltd,$2.90,+4.32%,+7.81%,+2.11%,+7.41%,Industrials,5.12B
96,BLD,BLDBoral Ltd,$4.62,+1.09%,+1.09%,+5.24%,+62.11%,Materials,5.1B
97,JBH,JBHJB Hi-Fi Ltd,$46.58,+1.55%,+5.82%,+3.17%,+9.42%,Consumer Discretionary,5.09B
98,TNE,TNETechnology One Ltd,$15.23,+0.46%,+2.01%,-1.36%,+24.33%,Information Technology,4.94B
99,DMP,DMPDomino's PIZZA Enterprises Ltd,$51.95,+1.23%,+3.94%,+1.84%,-1.94%,Consumer Discretionary,4.67B
100,CHC,CHCCharter Hall Group,$9.77,+3.72%,+11.91%,+2.30%,-25.42%,Real Estate,4.62B
101,HVN,HVNHarvey Norman Holdings Ltd,$3.69,+0.55%,+3.94%,-3.66%,-9.78%,Consumer Discretionary,4.6B
102,NHC,NHCNew Hope Corporation Ltd,$5.43,-0.73%,-10.54%,-15.29%,-10.84%,Energy,4.59B
103,STW,STWSPDR S&P/ASX 200 Fund,$62.82,+1.18%,+2.38%,-0.82%,+1.16%,Financials,4.58B
104,VEA,VEAViva Energy Group Ltd,$2.88,+1.05%,+1.41%,-4.00%,+1.41%,Energy,4.45B
105,LLC,LLCLendlease Group,$6.38,+1.11%,+1.27%,-10.27%,-18.62%,Real Estate,4.4B
106,IOZ,IOZIshares Core S&P/ASX 200 ETF,$28.04,+1.08%,+2.60%,-2.37%,+1.67%,Financials,4.31B
107,FLT,FLTFlight Centre Travel Group Ltd,$19.07,+0.85%,+4.90%,-0.21%,+12.91%,Consumer Discretionary,4.18B
108,CGF,CGFChallenger Ltd,$6.00,+0.33%,+2.92%,-5.96%,-14.77%,Financials,4.15B
109,CIA,CIAChampion Iron Ltd,$7.83,+2.49%,+20.65%,+25.28%,+65.89%,Materials,4.05B
110,GQG,GQGGQG Partners Inc,$1.37,+2.24%,+2.62%,0.00%,0.00%,Financials,4.05B
111,QUAL,QUALVaneck MSCI International Quality ETF,$44.98,+1.35%,+1.33%,+0.51%,+23.67%,Financials,4.01B
112,LTR,LTRLiontown Resources Ltd,$1.655,+4.42%,-3.22%,-44.09%,-8.06%,Materials,3.98B
113,BKW,BKWBrickworks Ltd,$25.34,+1.89%,+1.28%,+0.04%,+22.36%,Materials,3.86B
114,PMV,PMVPremier Investments Ltd,$23.52,+0.94%,+4.49%,-2.85%,-4.93%,Consumer Discretionary,3.75B
115,MTS,MTSMetcash Ltd,$3.74,+0.54%,+2.75%,+0.27%,-6.03%,Consumer Staples,3.65B
116,BOQ,BOQBank of Queensland Ltd,$5.45,+3.61%,+4.41%,-4.72%,-24.93%,Financials,3.58B
117,NHF,NHFNib Holdings Ltd,$7.35,+0.96%,+1.10%,-0.54%,+6.37%,Financials,3.56B
118,SMR,SMRStanmore Resources Ltd,$3.89,+2.37%,-0.26%,+3.73%,+32.31%,Materials,3.51B
119,VTS,VTSVanguard US Total Market Shares INDEX ETF,$331.01,+1.51%,+1.42%,-0.71%,+11.61%,Financials,3.5B
120,NIC,NICNickel Industries Ltd,$0.815,0.00%,+7.95%,+7.95%,+5.16%,Materials,3.49B
121,BPT,BPTBeach Energy Ltd,$1.525,-1.29%,-0.97%,-6.44%,-5.57%,Energy,3.48B
122,NDQ,NDQBetashares Nasdaq 100 ETF,$35.07,+0.92%,+2.16%,-0.03%,+31.79%,Financials,3.41B
123,APE,APEEagers Automotive Ltd,$13.21,-0.15%,+0.53%,-5.03%,+7.31%,Consumer Discretionary,3.39B
124,ORA,ORAOrora Ltd,$2.49,+0.81%,+0.40%,-8.46%,-11.47%,Materials,3.35B
125,NWL,NWLNetwealth Group Ltd,$13.45,+1.13%,+8.03%,-9.37%,+9.26%,Financials,3.28B
126,AAA,AAABetashares Australian High Interest Cash ETF,$50.09,0.00%,-0.28%,+0.01%,0.00%,Financials,3.27B
127,A200,A200Betashares Australia 200 ETF,$116.00,+1.17%,+2.63%,-0.69%,+1.69%,Financials,3.27B
128,BRG,BRGBreville Group Ltd,$22.45,+3.22%,+2.93%,+2.89%,+10.70%,Consumer Discretionary,3.22B
129,FBU,FBUFletcher Building Ltd,$4.09,+1.74%,+1.74%,-6.41%,-11.85%,Industrials,3.2B
130,ILU,ILUIluka Resources Ltd,$7.46,+1.64%,+3.47%,-4.11%,-15.23%,Materials,3.18B
131,GOLD,GOLDGlobal X Metal Securities Australia Ltd,$28.53,-0.18%,-2.50%,+7.18%,+19.52%,Financials,3.11B
132,NEC,NECNine Entertainment Co. Holdings Ltd,$1.915,+1.86%,+5.22%,-6.59%,-9.24%,Communication Services,3.11B
133,VHY,VHYVanguard Australian Shares High Yield ETF,$65.75,+0.92%,+2.14%,-0.29%,+2.19%,Financials,3.03B
134,SUL,SULSuper Retail Group Ltd,$13.31,+0.08%,+4.31%,+12.61%,+31.26%,Consumer Discretionary,3.01B
135,AUB,AUBAUB Group Ltd,$27.68,+1.77%,+0.66%,-3.79%,+30.63%,Financials,3B
136,PDN,PDNPaladin Energy Ltd,$1.005,-1.47%,+1.52%,-8.64%,+21.82%,Energy,3B
137,TLX,TLXTELIX Pharmaceuticals Ltd,$9.24,+1.54%,+6.82%,-18.95%,+36.08%,Health Care,2.99B
138,CNU,CNUChorus Ltd,$6.84,+0.59%,+2.40%,-2.15%,-4.47%,Communication Services,2.97B
139,CRN,CRNCoronado Global Resources Inc,$1.755,-0.28%,+3.24%,-5.65%,-16.03%,Materials,2.94B
140,RWC,RWCReliance Worldwide Corporation Ltd,$3.70,+2.78%,+6.63%,-4.39%,+19.74%,Industrials,2.92B
141,SFR,SFRSandfire Resources Ltd,$6.35,+6.01%,+6.72%,+1.93%,+79.24%,Materials,2.9B
142,A2M,A2MThe a2 Milk Company Ltd,$4.00,+2.04%,+3.09%,-5.88%,-27.14%,Consumer Staples,2.89B
143,AMP,AMPAMP Ltd,$1.045,+0.48%,+1.95%,-14.34%,-17.06%,Financials,2.87B
144,IOO,IOOIshares Global 100 ETF,$114.37,+1.03%,+1.06%,+0.26%,+17.98%,Financials,2.86B
145,NSR,NSRNational Storage REIT,$2.06,+1.48%,+0.98%,-5.51%,-17.60%,Real Estate,2.8B
146,CSR,CSRCSR Ltd,$5.85,+3.36%,+5.79%,+2.99%,+29.14%,Materials,2.79B
147,ANN,ANNAnsell Ltd,$22.15,+1.84%,+4.43%,+0.82%,-21.31%,Health Care,2.79B
148,AVZ,AVZAVZ Minerals Ltd,$0.78,0.00%,0.00%,0.00%,0.00%,Materials,2.75B
149,SQ2,SQ2Block Inc,$81.18,+25.18%,+24.03%,+16.59%,-7.19%,Financials,2.67B
150,HUB,HUBHUB24 Ltd,$32.25,+1.48%,+5.36%,+0.19%,+25.39%,Financials,2.62B
151,VEU,VEUVanguard All-World Ex-US Shares INDEX ETF,$80.59,+1.65%,+1.96%,-0.90%,+11.50%,Financials,2.6B
152,ARB,ARBARB Corporation Ltd,$31.26,+3.37%,+3.31%,+1.20%,+11.96%,Consumer Discretionary,2.57B
153,ETHI,ETHIBetashares Global Sustainability Leaders ETF,$12.22,+1.50%,+1.33%,-0.89%,+9.50%,Financials,2.55B
154,DOW,DOWDowner Edi Ltd,$3.78,+0.27%,+2.16%,-6.90%,-21.41%,Industrials,2.54B
155,MGF,MGFMagellan Global Fund,$1.78,+0.57%,+2.01%,+8.21%,+32.84%,Financials,2.52B
156,DRR,DRRDeterra Royalties Ltd,$4.74,-0.42%,+0.85%,-0.84%,+16.18%,Materials,2.51B
157,BFL,BFLBSP Financial Group Ltd,$5.31,+4.12%,+3.11%,+3.11%,+9.94%,Financials,2.48B
158,NABPH,NABPHNational Australia Bank Ltd,$103.84,+0.33%,+0.52%,-0.63%,+1.67%,N/A,2.48B
159,CTD,CTDCorporate Travel Management Ltd,$16.92,+0.60%,+1.68%,+2.67%,-3.37%,Consumer Discretionary,2.48B
160,VGAD,VGADVanguard MSCI INDEX International Shares (Hedged) ETF,$84.62,+1.63%,+3.87%,-0.04%,+13.94%,Financials,2.46B
161,SGM,SGMSims Ltd,$12.69,+0.63%,+2.84%,-6.00%,+2.92%,Materials,2.45B
162,WEB,WEBWebjet Ltd,$6.27,+1.29%,+3.47%,-5.00%,+19.20%,Consumer Discretionary,2.42B
163,RGN,RGNRegion Group,$2.08,+1.96%,+4.26%,+2.97%,-20.61%,Real Estate,2.42B
164,CLW,CLWCharter Hall Long Wale REIT,$3.27,+3.81%,+6.52%,+1.55%,-23.60%,Real Estate,2.36B
165,VNT,VNTVentia Services Group Ltd,$2.76,+0.36%,-0.72%,-2.82%,+3.76%,Industrials,2.36B
166,GNE,GNEGenesis Energy Ltd,$2.17,+0.93%,-2.25%,-4.41%,-17.18%,Utilities,2.33B
167,HDN,HDNHomeco Daily Needs REIT,$1.12,+3.23%,+7.18%,-3.45%,-10.76%,Real Estate,2.33B
168,AWC,AWCAlumina Ltd,$0.80,+1.91%,+3.90%,-16.67%,-44.64%,Materials,2.32B
169,PRU,PRUPerseus Mining Ltd,$1.69,-0.30%,-1.46%,+2.12%,-5.59%,Materials,2.32B
170,PPT,PPTPerpetual Ltd,$20.22,+2.74%,+6.70%,-2.84%,-29.84%,Financials,2.29B
171,VAP,VAPVanguard Australian Property Securities INDEX ETF,$73.68,+2.12%,+6.51%,-0.18%,-1.10%,Financials,2.28B
172,DHG,DHGDomain Holdings Australia Ltd,$3.60,0.00%,+1.70%,-7.93%,+8.11%,Communication Services,2.27B
173,ZIM,ZIMZimplats Holdings Ltd,$21.00,+5.26%,-0.94%,-10.60%,-16.44%,Materials,2.26B
174,BWP,BWPBWP Trust,$3.42,+2.40%,+1.48%,+1.79%,-14.71%,Real Estate,2.2B
175,HYGG,HYGGHyperion GBL Growth Companies Fund (Managed Fund),$4.02,+2.03%,+4.42%,+1.01%,+36.74%,Financials,2.18B
176,AIZ,AIZAir New Zealand Ltd,$0.62,+0.81%,+3.33%,-8.82%,-16.22%,Industrials,2.09B
177,SNZ,SNZSummerset Group Holdings Ltd,$8.90,+0.23%,-0.22%,-2.84%,-1.87%,Health Care,2.09B
178,HBRD,HBRDBetashares Active Australian Hybrids Fund (Managed Fund),$10.01,+0.05%,-0.20%,-0.60%,+0.10%,Financials,2.08B
179,DEG,DEGDe Grey Mining Ltd,$1.145,-1.29%,-1.29%,+2.23%,+9.05%,Materials,2.06B
180,PXA,PXAPexa Group Ltd,$11.54,-0.09%,+6.56%,+0.61%,-23.17%,Real Estate,2.05B
181,NABPI,NABPINational Australia Bank Ltd,$102.28,+0.08%,+0.13%,-0.75%,+0.58%,N/A,2.05B
182,LOV,LOVLovisa Holdings Ltd,$18.48,+0.44%,+5.78%,-2.84%,-23.73%,Consumer Discretionary,2.03B
183,VUK,VUKVirgin Money Uk Plc,$3.01,+4.51%,+7.89%,-5.35%,+24.38%,Financials,2.02B
184,IAF,IAFIshares Core Composite Bond ETF,$97.28,+0.28%,+0.64%,-1.40%,-0.94%,Financials,2.01B
185,VDHG,VDHGVanguard Diversified High Growth INDEX ETF,$56.37,+1.35%,+2.27%,-0.67%,+6.02%,Financials,2B
186,DDR,DDRDicker Data Ltd,$11.06,+1.28%,+10.60%,+15.57%,+10.49%,Information Technology,1.99B
187,NABPF,NABPFNational Australia Bank Ltd,$104.81,+0.25%,+0.59%,-0.37%,+0.40%,N/A,1.96B
188,GOR,GORGold Road Resources Ltd,$1.81,-2.43%,-1.36%,+10.37%,+37.12%,Materials,1.95B
189,APM,APMAPM Human Services International Ltd,$2.09,-0.48%,+6.09%,+11.47%,-37.43%,Industrials,1.92B
190,MVW,MVWVaneck Australian EQUAL Weight ETF,$33.15,+1.19%,+2.38%,-1.57%,+2.95%,Financials,1.9B
191,BAP,BAPBapcor Ltd,$5.54,-1.25%,+2.40%,-18.17%,-17.56%,Consumer Discretionary,1.88B
192,CIP,CIPCenturia Industrial REIT,$2.95,+1.38%,+4.24%,-1.34%,+0.68%,Real Estate,1.87B
193,TAH,TAHTabcorp Holdings Ltd,$0.815,0.00%,+3.17%,-12.83%,-15.10%,Consumer Discretionary,1.86B
194,CEN,CENContact Energy Ltd,$7.29,+0.55%,+1.39%,-2.80%,+7.21%,Utilities,1.86B
195,CQR,CQRCharter Hall Retail REIT,$3.17,+0.64%,+3.26%,+0.32%,-19.95%,Real Estate,1.84B
196,RMS,RMSRamelius Resources Ltd,$1.615,-1.22%,-4.44%,+12.15%,+101.88%,Materials,1.83B
197,IVC,IVCInvocare Ltd,$12.67,+0.08%,+0.24%,+0.88%,+22.06%,Consumer Discretionary,1.83B
198,CBAPL,CBAPLCommonwealth Bank of Australia,$101.05,0.00%,+0.23%,-0.42%,+0.85%,N/A,1.8B
199,MXT,MXTMetrics Master Income Trust,$2.02,0.00%,0.00%,0.00%,+6.32%,Financials,1.78B
200,WBCPJ,WBCPJWestpac Banking Corporation,$103.00,0.00%,+0.14%,-0.55%,+1.08%,N/A,1.77B
201,LSF,LSFL1 Long Short Fund Ltd,$2.86,+2.14%,+5.15%,+1.42%,+16.26%,Financials,1.77B
202,JLG,JLGJohns LYNG Group Ltd,$6.41,+0.95%,+11.48%,-1.99%,-4.04%,Industrials,1.77B
203,WBCPK,WBCPKWestpac Banking Corporation,$101.10,+0.35%,+0.20%,-0.39%,+1.57%,N/A,1.77B
204,EVT,EVTEVT Ltd,$10.85,+1.21%,+3.93%,-0.73%,-25.89%,Communication Services,1.76B
205,LIC,LICLifestyle Communities Ltd,$16.80,+1.57%,+8.60%,+4.87%,-0.89%,Real Estate,1.76B
206,CBAPK,CBAPKCommonwealth Bank of Australia,$100.05,+0.05%,0.00%,-0.90%,+0.96%,N/A,1.75B
207,WLE,WLEWam Leaders Ltd,$1.38,0.00%,0.00%,-8.61%,-10.10%,Financials,1.74B
208,WBCPH,WBCPHWestpac Banking Corporation,$102.50,+0.10%,+0.11%,-0.77%,-0.02%,N/A,1.73B
209,PNI,PNIPinnacle Investment Management Group Ltd,$8.52,+2.16%,+10.36%,-5.02%,+0.35%,Financials,1.73B
210,CMM,CMMCapricorn Metals Ltd,$4.59,-1.08%,0.00%,+11.68%,+34.60%,Materials,1.73B
211,LNW,LNWLight & Wonder Inc,$117.93,+3.64%,-0.54%,+6.68%,+29.59%,Consumer Discretionary,1.72B
212,NUF,NUFNufarm Ltd,$4.52,+3.20%,+4.15%,-4.44%,-20.42%,Materials,1.72B
213,VAF,VAFVanguard Australian Fixed Interest INDEX ETF,$43.60,+0.21%,+0.62%,-0.86%,-0.75%,Financials,1.72B
214,AZS,AZSAZURE Minerals Ltd,$3.85,+4.05%,+10.32%,+36.04%,+1300.00%,Materials,1.72B
215,WAM,WAMWAM Capital Ltd,$1.54,+1.99%,+3.70%,-10.20%,-9.41%,Financials,1.7B
216,IPH,IPHIPH Ltd,$7.10,+2.60%,+2.75%,-4.05%,-27.03%,Industrials,1.7B
217,KLS,KLSKelsian Group Ltd,$6.27,+1.46%,+1.95%,+10.78%,+31.56%,Industrials,1.69B
218,CBAPI,CBAPICommonwealth Bank of Australia,$102.20,+0.33%,+0.49%,-0.39%,+1.39%,N/A,1.69B
219,INA,INAIngenia Communities Group,$4.12,+1.48%,+6.74%,-1.20%,+8.71%,Real Estate,1.68B
220,AN3PG,AN3PGAustralia and New Zealand Banking Group Ltd,$102.05,-0.18%,-0.19%,+0.47%,-2.25%,N/A,1.66B
221,GOZ,GOZGrowthpoint Properties Australia,$2.16,+4.85%,+3.85%,-1.37%,-34.15%,Real Estate,1.63B
222,MFF,MFFMFF Capital Investments Ltd,$2.82,+0.71%,+0.36%,-4.73%,+21.03%,Financials,1.63B
223,CBAPH,CBAPHCommonwealth Bank of Australia,$102.15,-0.05%,+0.39%,+0.76%,-0.85%,N/A,1.62B
224,MP1,MP1Megaport Ltd,$10.15,+2.22%,+5.40%,-14.27%,+71.45%,Information Technology,1.61B
225,BOE,BOEBoss Energy Ltd,$4.56,-0.87%,-1.51%,-5.79%,+74.05%,Energy,1.61B
226,SGR,SGRThe Star Entertainment Group Ltd,$0.56,+3.70%,-5.88%,-8.94%,-77.71%,Consumer Discretionary,1.61B
227,GNC,GNCGraincorp Ltd,$7.14,+1.42%,+5.47%,+5.31%,-13.46%,Consumer Staples,1.6B
228,HMC,HMCHMC Capital Ltd,$4.56,+2.47%,+6.54%,-2.15%,-4.80%,Real Estate,1.59B
229,360,360LIFE360 Inc,$7.81,0.00%,+4.55%,-6.58%,+15.36%,Information Technology,1.58B
230,EMR,EMREmerald Resources NL,$2.54,-5.58%,-3.05%,-4.51%,+130.91%,Materials,1.58B
